Adam	n. 亚当
Africa	n. 非洲
Alaska	n. 阿拉斯加州
Albany	n. 奥尔巴尼(美国纽约州首府)
Alex	[计] 开放网络文件系统
America	n. 美洲, 美国
American	n. 美国人|a. 美国的, 美洲的
Antarctica	n. 南极洲
April	n. 四月
Arabic	n. 阿拉伯语|a. 阿拉伯语的, 阿拉伯人的, 阿拉伯式的
Argentina	n. 阿根廷
Arizona	n. 亚利桑那州
Asia	n. 亚洲
Asian	n. 亚洲人|a. 亚洲的, 亚洲人的
Athens	n. 雅典(希腊首都)
Atlantis	n. 亚特兰蒂斯(传说沉没于大西洋中的岛)
Auckland	n. 奥克兰(新西兰港口)
Australia	n. 澳洲, 澳大利亚
Baltimore	n. 巴尔的摩
Beijing	[经] 北京
Belfast	n. 贝尔法斯特
Belgium	n. 比利时
Benin	贝宁湾(几内亚湾一部分,靠西非的尼日利亚、贝宁和多哥等国)
Bermuda	n. 百慕大岛
Boston	n. 波士顿
Brazil	n. 巴西
Brexit	[网络] 英国退出欧盟
Britain	n. 英国
Brooklyn	n. 布鲁克林区(纽约行政区)
Bruce	n. 布鲁斯
Brussels	n. 布鲁塞尔
Buddhist	n. 佛教徒|a. 佛教的
Burundi	n. 布隆迪
California	n. 加利福尼亚
Californian	n. 加利福尼亚州人|a. 加利福尼亚的
Cambodia	n. 柬埔寨
Cambridge	n. 剑桥
Canada	n. 加拿大
Canadian	a. 加拿大的
Carolina	n. 北(或南)卡罗来纳州
Carroll	n. 卡罗尔（罗马人的姓）
Charlie	n. 通讯中用以代表字母C的词
Chicago	n. 芝加哥
Christmas	n. 圣诞节
Churchill	n. 邱吉尔
Cleveland	n. 克利夫兰
Colorado	n. 科罗拉多, 科罗拉多河
Columbia	n. 哥伦比亚
Copenhagen	n. 哥本哈根
Coventry	n. 考文垂
DC	直流电
Dane	n. 丹麦人
Darwin	n. 达尔文
December	n. 十二月
Delaware	n. 特拉华(美国州名)
Denmark	n. 丹麦
Denver	n. 丹佛(美国城市)
Detroit	n. 底特律(美国城市)
Disney	n. 迪斯尼
Dr	n. 博士, 医生
Dutchman	n. 荷兰人
Egypt	n. 埃及
Einstein	n. 爱因斯坦
England	n. 英格兰
Englishman	n. 英国人
Europe	n. 欧洲
European	n. 欧洲人|a. 欧洲的, 欧洲人的
Evansville	n. 埃文斯维尔（美国城市）
Everest	n. 珠穆朗玛峰, 顶峰
February	n. 二月
Ferdinand	n. 男子名
Ferguson	n. 弗格森（美国密苏里州的一个城市名）；弗格森（姓氏）
Ferrari	[计] 费拉里
Finland	n. 芬兰
Finn	n. 芬兰人
Florence	n. 佛罗伦萨(意大利城市)
Florida	n. 佛罗里达州
France	n. 法国
Franklin	[计] 富兰克林
French	n. 法国人, 法文, 法式|a. 法国的, 法国人的, 法语的
Frenchman	n. 法国人
Friday	n. 星期五
Galileo	n. 伽利略
Geneva	n. 日内瓦, (荷兰)杜松子酒
Georgia	n. 乔治亚州
Germany	n. 德国
Gilbert	n. 吉尔伯特（男子名）
Giovanni	n. 乔瓦尼（人名）
Gordon	[计] 哥尔丹
Greece	n. 希腊
Haiti	n. 海地
Harvard	n. 哈佛大学
Hawaii	n. 夏威夷州, 夏威夷岛
Hawaiian	n. 夏威夷人, 夏威夷语|a. 夏威夷的, 夏威夷语的
Hispanic	a. 西班牙的
Holland	n. 荷兰
Hollywood	n. 好莱坞, 美国电影界, 美国电影工业, 美国式电影
Honduras	n. 洪都拉斯
Houston	n. 休斯敦
Hudson	n. 哈得孙河
I	pron. 我
I'd	abbr. 我愿意（等于I would）
I'm	abbr. 我是（缩写）
I've	（等于I have）
Iberian	a. 伊比利亚的, 伊比利亚语的|n. 伊比利亚人, 伊比利亚语
Iceland	n. 冰岛
Idaho	n. 爱达荷州
Illinois	n. 伊利诺州
India	n. 印度
Indiana	n. 印地安那州
Indonesia	n. 印尼
Iowa	n. 衣阿华州
Iraq	n. 伊拉克
Ireland	n. 爱尔兰
Irishman	n. 爱尔兰人
Italy	n. 意大利
January	n. 一月
Jesus	n. 耶稣
Joseph	n. 约瑟夫（男子名）；约瑟（圣经中雅各的第十一子）
Joshua	n. 约书亚(<<圣经>>人物), <<约书亚记>>
Josiah	n. 约西亚（男子名）
July	n. 七月
June	n. 六月
Kelly	n. 凯利（男子名）；[古]战士
Kentucky	n. 肯塔基州
Kenya	n. 肯尼亚
Korea	n. 朝鲜, 韩国
La	[医] 镧(57号元素)
Larry	n. 拉里（男子名）
Lincoln	n. 林肯
Liverpool	n. 利物浦
Louisiana	n. 路易斯安那(美国州名)
Madrid	n. 马德里
Maine	n. 缅因州
Manchester	n. 曼彻斯特
Manhattan	n. 曼哈顿
Marcus	n. 马库斯（男子名）
Mariana	n. 马里亚纳群岛
Marshall	n. 马歇尔（姓氏, 男子名, 等于Mar'shal）
Martha	n. 马大(<<圣经>>故事人物)
Maryland	n. 马里兰州
Massachusetts	n. 麻萨诸塞州
Mediterranean	n. 地中海, 地中海民族|a. 地中海的, 地中海民族的
Mexico	n. 墨西哥
Miami	n. 迈阿密
Michelle	n. 米歇尔（女子名）
Microsoft	n. (美国)微软公司
Midwest	n. (美国的)中西部
Minneapolis	[经] 明尼亚波利
Missouri	n. 密苏里州
Monday	n. 星期一
Monica	n. 莫尼卡（女子名）
Mr	先生
Mrs	太太
Nagpur	那格浦尔[印度中部城市]
Nazism	n. 纳粹主义
Netherlands	n. 荷兰
Nevada	n. 内华达
Newman	[计] 牛曼
Nigeria	n. 尼日利亚
Nile	n. 尼罗河
Nobel	n. 诺贝尔
Norfolk	n. 诺福克(英格兰郡名)
Norway	n. 挪威
November	n. 十一月
October	n. 十月
Ohio	n. 俄亥俄
Oregon	n. 俄勒冈
Ottawa	n. 渥太华
Pennsylvania	n. 宾夕法尼亚
Pete	n. 皮特（等于Peter, 男子名）
Philadelphia	n. 费城
Pittsburgh	n. 匹兹堡
Polynesian	a. 波利尼西亚人的, 波利尼西亚的|n. 波利尼西亚人
Portugal	n. 葡萄牙
Princeton	n. 普林斯顿
Queensland	[经] 昆士兰
Quinn	n. 奎恩（姓氏）
Robert	[法] 警察
Roman	n. 罗马人|a. 罗马人的, 罗马的
Rome	n. 罗马
Roosevelt	罗斯福( ①姓氏 ②Franklin Delano, 1882-1945, 于1933-1945任美国第32任总统 ③Theodore, 1858-1919, 于1901-1909任美国第26任总统,曾获1906年诺贝尔和平奖)
Russia	n. 俄国, 俄罗斯
Sahara	n. 撒哈拉沙漠
Sara	n. 萨拉族, 萨拉人
Sarah	n. 萨拉(<<圣经>>故事人物)
Saturday	n. 星期六
Scotland	n. 苏格兰
Seattle	n. 西雅图
September	n. 九月
Shakespeare	n. 莎士比亚
Singapore	n. 新加坡
Singh	n. 辛格（印度总理）；查理·拉杰（电影名）
Slovakia	n. 斯洛伐克
Smithsonian	n. 史密森尼（美国博物馆）；史密森学会
Spain	n. 西班牙
Sunday	n. 星期日|a. 星期日的, 业余的|vi. 度星期日
Sweden	n. 瑞典
TV	电视
Tanzania	n. 坦桑尼亚
Texas	n. 德克萨斯
Thomas	n. 多马(耶稣十二门徒之一)
Thursday	n. 星期四
Tuesday	n. 星期二
Tumblr	微博客
Utah	n. 犹他
Venice	n. 威尼斯
Venus	n. 维纳斯(爱与美的女神), 金星
Vermont	n. 佛蒙特
Victorian	a. 英国维多利亚女王时代的, 笃信宗教的, 讲究体面的|n. 维多利亚女王时代的英国人
Vincent	n. 文森特（男名）
Virginia	n. 弗吉尼亚
Washington	n. 华盛顿
Wednesday	n. 星期三
Westminster	n. 威斯敏斯特
Wisconsin	n. 威斯康星
Yale	n. 耶鲁
Yankee	n. (美国的)新英格兰人, (美国)北方诸州的人, 美国佬
Yorkshire	n. 约克郡, 约克王朝
a	n. 拉丁字母 A|num. 第一|prep. 表示分离或进入|v. 方言中的“有”助动词|adj. 原子的|intj. 呃；啊|n. 尖牌；王牌|n. 英亩|n. 电流表|n. 答案|n. 助攻|num. 第一
a-grade	adj. 顶尖的；第一流的
aa	adj. 防空；空对空|n. 戒酒互助会成员|n. AA 电池|adj. 空对空的|n. 平权行动|n. 抗锯齿|n. 亚裔美国人|n. 行政助理|n. 学术顾问|n. 文科副学士学位|n. 全能项目|adj. 寰枢关节的
aaa	n. 腹主动脉瘤|n. 高射炮|n. 认证、授权与计费|n. 芳香族氨基酸|n. 动物辅助活动|n. 管理、授权与认证|n. 腹主动脉瘤|n. 成人专辑另类音乐|n. 先进声学阵列|n. 访问批准机构|n. 累计调整账户|n. 自适应阵列天线
aaaa	abbr. 美国广告代理商协会（The American Association of Advertising Agencies）
ab	adv. 大约|n. 腹肌|n. AB型血|v. 沿绳速降|adj. 轮到击球的|n. AB型血的人|n. 注射毒品造成的脓肿|n. 堕胎|prep. 大约|v. 中止的缩写|adj. 空降的|adj. 反弹道的
abandon	v. 放开控制；任凭情感支配|v. 放弃；停止坚持|v. 抛下；遗弃|n. 毫无顾忌；尽情|v. 放弃权利或职位|n. 放弃；舍弃|v. 制服；控制|v. 驱逐；排斥|v. 向保险方交出受损物
abbreviation	n. 缩短后的结果；删节版|n. 词语或短语的缩写形式|n. 缩写的过程|n. 代替完整概念的简便说法|n. 乐谱中的指示缩写|n. 音符符干上的分割线记号|n. 生物演化中的发育阶段缩减|n. 分数约分
abdicate	vt. 正式放弃|vi. 退位, 退出, 辞职
abdication	n. 放弃高级职位或权力|n. 君主退位|n. 断绝亲子关系|n. 放弃财产或法律请求|n. 被逐下台
abdomen	n. 腹部|n. 腹腔|n. 腹部脂肪|n. 节肢动物的腹部
abdominal	adj. 腹部的；与腹部有关的|n. 腹肌|adj. 腹部具鳍的|adj. 腹侧的（鳍）|adj. 腹鳍类的|n. 腹鳍类鱼（旧称）
abide	v. 忍受；容忍|v. 遵守；遵照|v. 经受而不倒|v. 承担后果|v. 等待|v. 暂停；耽搁|v. 停留；持续存在|v. 居住|v. 持续；长存|v. 等待；等候|v. 经受考验|v. 顺从接受
ability	n. 能力；能够做某事的条件|n. 技能；才干|n. 法律或制度上的行动资格|n. 头脑的特殊能力|n. 适合性|n. 体力|n. 经济能力
able	adj. 有能力做到|adj. 可以；不受阻碍|adj. 能干的；有才干的|adj. 有法律资格的|adj. 胜任全部职责的|adj. 强健的|adj. 容易使用的|adj. 合适的；胜任的|adj. 对……负有责任的|adj. 富裕的|n. 字母 A 的海军通信用语|n. 无线电代码词
abnormal	adj. 偏离通常状态的|adj. 行为或心理状态不合常规的|n. 异常者；异常事物
abnormality	n. 异常状态；不规则性|n. 异常之处；异常现象
aboard	adv. 在船、车、飞机上；登上其中|prep. 在……上；登上……|adv. 骑在马等动物上|adv. 有人在垒上|adv. 加入团队或公司|prep. 骑上……|adv. 在旁边；靠近并排|prep. 横跨；在旁边
abolish	v. 废除；取消制度|v. 彻底消灭
abound	v. 大量存在；数量充足|v. 充满；拥有大量供应|v. 充满；到处都是|v. 大量产生；盛产|v. 富有|v. 沉浸于；尽情享受
about	adj. 在活动；四处走动|adv. 在周围；环顾四周|adv. 大约；近似地|prep. 即将；正要|prep. 关于；涉及|adj. 存在；显现|adj. 在附近|adv. 到处；这里那里|adv. 来回活动|adv. 胡乱做；无所事事|adv. 在附近|adv. 转向相反方向
about-face	n. 突然转身|n. 立场突然反转|v. 转身掉头|v. 突然改变立场
above	adv. 在正上方|prep. 在……上方；穿在……外面|prep. 在……上方；高于……表面|prep. 高于；胜过；超过标准|adj. 上述的；上文的|adv. 在上文；在页面上方|adv. 在天空中；从天上|adv. 在较高处；在楼上或上游|adv. 在更高权力层级|adv. 超过某数量|adv. 高于零度|n. 上文；页面上方的内容
abreast	adj. 并排向前|adj. 达到同一进度|adv. 并排地|adv. 跟上进度|adj. 在旁边；平行|adj. 熟悉情况；消息灵通|adv. 在旁边；平行地|adv. 及时了解|prep. 在……旁边|adj. 与船舷成一线|adv. 齐胸高|adv. 在船的正侧面
abroad	adv. 在国外；到国外|adv. 在客场；在外地比赛|adj. 国外的；国际的|adv. 向外散开；广泛地|adv. 在外面；离开住处|adv. 到处流传；在社会上出现|adv. 偏离目标；迷乱|n. 国外；外国土地|prep. 遍及；覆盖在……上
abrupt	adj. 突然的；仓促结束的|adj. 说话生硬的；唐突的|adj. 转折突兀的；不连贯的|adj. 陡峭险峻的|v. 突然打断|adj. 挣脱束缚的|adj. 断开的|adj. 截形的；末端突然收断的|n. 深渊；断崖|v. 撕断
abruptly	adv. 突然地；猝然地
absence	n. 不在场；离开|n. 离开的一段时间|n. 缺乏；没有|n. 应到而未到；缺席|n. 心不在焉|n. 短暂失去意识|n. 剑刃未接触
absent	adj. 不在场；缺席|adj. 不存在；缺少|adj. 心不在焉|n. 缺席者；不在场的人们|n. 缺席者|prep. 在没有……的情况下|v. 使自己离开；缺席|v. 使某人离开|v. 离开；退出|v. 离开|v. 省略；删去
absently	adv. 心不在焉地
